Nawisko aktualne,Liczba
ZARĘBSKI,3569
CZAPLIŃSKI,3567
FIGIEL,3562
KWAŚNY,3561
WŁOCH,3561
WÓJCIAK,3560
MODRZEJEWSKI,3556
LACHOWICZ,3554
OLEŚ,3554
OKOŃ,3551
KAPICA,3549
NALEPA,3549
OGÓREK,3546
WALIGÓRA,3546
ŁAWNICZAK,3544
ZAWISTOWSKI,3542
BROŻEK,3541
BATOR,3537
NADOLNY,3537
BARON,3534
ŁOŚ,3534
MROWIEC,3533
MULARCZYK,3533
SKWAREK,3532
GROBELNY,3527
KOŁODZIEJCZAK,3527
GRABSKI,3526
NIEZGODA,3523
ĆWIKLIŃSKI,3521
PÓŁTORAK,3520
MYŚLIWIEC,3515
WACHOWIAK,3512
GAZDA,3508
KOZYRA,3504
JEDYNAK,3498
NADOLSKI,3491
GAJ,3489
BIEL,3481
GAŁECKI,3478
MIŚ,3475
KULIKOWSKI,3471
BERNACKI,3468
BOGDAN,3455
BOROŃ,3444
SITKO,3444
IWANOWSKI,3442
ZAWISZA,3442
GRYGIEL,3437
MAJDA,3437
GLIŃSKI,3435
STENCEL,3435
KRASKA,3434
KOŚCIELNIAK,3433
OZGA,3423
DOBRZAŃSKI,3422
GALIŃSKI,3421
NOSAL,3419
KRÓLIK,3418
MIECZKOWSKI,3418
WINNICKI,3417
BARTNICKI,3416
BIEŃ,3416
MORAWIEC,3416
KOMAR,3415
KOCHANOWSKI,3412
PASTUSZKA,3411
WEBER,3410
BŁAŻEJEWSKI,3409
KLIMAS,3408
JASKÓLSKI,3406
PRZYBYSZEWSKI,3404
KOZICKI,3402
MŁYNARSKI,3402
KAZIMIERCZAK,3392
KOSTRZEWSKI,3392
WIELGOSZ,3388
WYDRA,3383
SZWEDA,3378
SZCZEPANEK,3375
DUSZA,3360
SPYCHAŁA,3358
DOMAGALSKI,3353
KLIMASZEWSKI,3352
BŁASZKIEWICZ,3351
KLUSKA,3347
BARTOSIEWICZ,3345
LEMAŃSKI,3345
WCISŁO,3343
MATCZAK,3342
ZASADA,3341
BONDARENKO,3335
BUDA,3335
JANECZEK,3335
FRANKIEWICZ,3334
SOBOŃ,3333
IWANICKI,3330
GALAS,3328
RYBA,3328
PIETRZYKOWSKI,3325
SMYK,3324
STOPA,3324
TYMIŃSKI,3318
SOBOCIŃSKI,3310
SKORUPSKI,3307
WALAS,3302
TABOR,3301
ZAWIŚLAK,3299
KULAS,3294
KĄKOL,3293
GAJEK,3291
GUZ,3284
WISZNIEWSKI,3282
SARNOWSKI,3277
MARCZEWSKI,3275
RYBIŃSKI,3275
TURSKI,3275
MISZCZAK,3270
MIREK,3269
SZAFRAN,3268
